DATE,EVENT_URL,ORGANIZER,PLAYER_COUNT
2026/09/04,https://melee.gg/Tournament/View/419851,GTS GRANADA,10
2026/09/03,https://melee.gg/Tournament/View/399237,HighlanderGames Bremen,15
2026/09/03,https://melee.gg/Tournament/View/413814,Gones Unlimited,6
2026/09/03,https://melee.gg/Tournament/View/412019,REBEL FORGE,14
2026/09/03,https://melee.gg/Tournament/View/413245,Gones Unlimited,8
2026/09/03,https://melee.gg/Tournament/View/411871,Gones Unlimited,5
2026/09/02,https://melee.gg/Tournament/View/411736,Gen X Las Musas,13
2026/09/02,https://melee.gg/Tournament/View/411759,Dédale des Jeux,7
2026/09/02,https://melee.gg/Tournament/View/420581,Enroque Juegos de Mesa,6
2026/09/02,https://melee.gg/Tournament/View/411758,SARL les fous du Roy,12
2026/09/02,https://melee.gg/Tournament/View/411770,Troll2Jeux,10
2026/09/02,https://melee.gg/Tournament/View/411772,Comix Play Grosseto,11
2026/08/26,https://melee.gg/Tournament/View/447881,The Wobbly Nerdles,11
2026/08/21,https://melee.gg/Tournament/View/449833,From The Deep Games,4
2026/08/19,https://melee.gg/Tournament/View/435868,Primal Nerds,8
2026/08/10,https://melee.gg/Tournament/View/442489,Tactical Squad,6
2026/08/08,https://melee.gg/Tournament/View/442405,Magic Warrior Vittorio di Pastre Mattia,5
2026/08/07,https://melee.gg/Tournament/View/442475,The Big Bang Games,4
2026/08/07,https://melee.gg/Tournament/View/442979,Cards hall,9
2026/08/07,https://melee.gg/Tournament/View/449823,Cards of Ruin Rexburg,4
2026/08/06,https://melee.gg/Tournament/View/442476,Tizian Pusar (Trading Cards United),4
2026/08/06,https://melee.gg/Tournament/View/425970,TheDiceJail,4
2026/08/06,https://melee.gg/Tournament/View/427531,Comix Café Arezzo sas,7
2026/08/06,https://melee.gg/Tournament/View/427475,TitanGamesGetafe,5
2026/08/05,https://melee.gg/Tournament/View/425618,42 Southside-Fantasy,9
2026/08/05,https://melee.gg/Tournament/View/426738,Les Jeux de l'Olympe,12
2026/08/05,https://melee.gg/Tournament/View/425704,Xpoly Tcg Store,5
2026/08/05,https://melee.gg/Tournament/View/424712,Spielwiese Michael Schäfer e.K.,8
2026/08/05,https://melee.gg/Tournament/View/434867,Carta'jeu,4
2026/08/05,https://melee.gg/Tournament/View/435038,La Ludoteca Del TIburon,4
2026/08/05,https://melee.gg/Tournament/View/425289,PuzzleBoxx,0
2026/08/05,https://melee.gg/Tournament/View/434834,Magic Event,8
2026/08/05,https://melee.gg/Tournament/View/449187,Tournament City Games,4
2026/08/04,https://melee.gg/Tournament/View/427668,GladiusGames,4
